,动词,名词,形容词,成语,四字词语
来自,17.0,0.0,0.0,0.0,0.0
导演,4.0,0.0,0.0,0.0,0.0
喜欢,104.0,0.0,0.0,0.0,0.0
避开,2.0,0.0,0.0,0.0,0.0
开心,28.0,0.0,0.0,0.0,0.0
打面,11.0,0.0,0.0,0.0,0.0
旅游,49.0,0.0,0.0,0.0,0.0
看门,1.0,0.0,0.0,0.0,0.0
颤声,1.0,0.0,0.0,0.0,0.0
可能,45.0,0.0,0.0,0.0,0.0
看到,115.0,0.0,0.0,0.0,0.0
震动,1.0,0.0,0.0,0.0,0.0
感谢,11.0,0.0,0.0,0.0,0.0
指引,6.0,0.0,0.0,0.0,0.0
逡巡,1.0,0.0,0.0,0.0,0.0
转身,1.0,0.0,0.0,0.0,0.0
落锁,1.0,0.0,0.0,0.0,0.0
找到,17.0,0.0,0.0,0.0,0.0
得以,2.0,0.0,0.0,0.0,0.0
脱身,1.0,0.0,0.0,0.0,0.0
出门,27.0,0.0,0.0,0.0,0.0
想着,22.0,0.0,0.0,0.0,0.0
应该,28.0,0.0,0.0,0.0,0.0
难求,1.0,0.0,0.0,0.0,0.0
开车,10.0,0.0,0.0,0.0,0.0
打烊,3.0,0.0,0.0,0.0,0.0
出口,5.0,0.0,0.0,0.0,0.0
害怕,9.0,0.0,0.0,0.0,0.0
类似,7.0,0.0,0.0,0.0,0.0
不到,29.0,0.0,0.0,0.0,0.0
只能,13.0,0.0,0.0,0.0,0.0
过于,2.0,0.0,0.0,0.0,0.0
认得,1.0,0.0,0.0,0.0,0.0
回到,20.0,0.0,0.0,0.0,0.0
预约,68.0,0.0,0.0,0.0,0.0
没进,2.0,0.0,0.0,0.0,0.0
吃到,7.0,0.0,0.0,0.0,0.0
出差,4.0,0.0,0.0,0.0,0.0
好喝,17.0,0.0,0.0,0.0,0.0
结束,23.0,0.0,0.0,0.0,0.0
延期,4.0,0.0,0.0,0.0,0.0
好像,27.0,0.0,0.0,0.0,0.0
买不到,1.0,0.0,0.0,0.0,0.0
决定,10.0,0.0,0.0,0.0,0.0
感受,70.0,0.0,0.0,0.0,0.0
溜达,2.0,0.0,0.0,0.0,0.0
发现,59.0,0.0,0.0,0.0,0.0
下意识,1.0,0.0,0.0,0.0,0.0
不想,13.0,0.0,0.0,0.0,0.0
调研,2.0,0.0,0.0,0.0,0.0
记得,24.0,0.0,0.0,0.0,0.0
知道,78.0,0.0,0.0,0.0,0.0
已成,5.0,0.0,0.0,0.0,0.0
所见,2.0,0.0,0.0,0.0,0.0
改变,7.0,0.0,0.0,0.0,0.0
眺望,2.0,0.0,0.0,0.0,0.0
分割,1.0,0.0,0.0,0.0,0.0
回来,20.0,0.0,0.0,0.0,0.0
消费,3.0,0.0,0.0,0.0,0.0
没有,181.0,0.0,0.0,0.0,0.0
停下来,4.0,0.0,0.0,0.0,0.0
看看,57.0,0.0,0.0,0.0,0.0
遇到,15.0,0.0,0.0,0.0,0.0
经营,4.0,0.0,0.0,0.0,0.0
烧烤,6.0,0.0,0.0,0.0,0.0
遇上,3.0,0.0,0.0,0.0,0.0
忘记,12.0,0.0,0.0,0.0,0.0
关在,1.0,0.0,0.0,0.0,0.0
带路,1.0,0.0,0.0,0.0,0.0
早起,3.0,0.0,0.0,0.0,0.0
做到,4.0,0.0,0.0,0.0,0.0
考古,11.0,0.0,0.0,0.0,0.0
恢复,40.0,0.0,0.0,0.0,0.0
建设,11.0,0.0,0.0,0.0,0.0
迫于,1.0,0.0,0.0,0.0,0.0
分开,4.0,0.0,0.0,0.0,0.0
重逢,2.0,0.0,0.0,0.0,0.0
写下,6.0,0.0,0.0,0.0,0.0
呈现,20.0,0.0,0.0,0.0,0.0
介绍,32.0,0.0,0.0,0.0,0.0
流传,3.0,0.0,0.0,0.0,0.0
横绝,1.0,0.0,0.0,0.0,0.0
合称,1.0,0.0,0.0,0.0,0.0
来到,48.0,0.0,0.0,0.0,0.0
捡漏,1.0,0.0,0.0,0.0,0.0
往返,2.0,0.0,0.0,0.0,0.0
宣布,2.0,0.0,0.0,0.0,0.0
累死,7.0,0.0,0.0,0.0,0.0
见到,14.0,0.0,0.0,0.0,0.0
回去,18.0,0.0,0.0,0.0,0.0
打算,10.0,0.0,0.0,0.0,0.0
了睡,1.0,0.0,0.0,0.0,0.0
来得及,6.0,0.0,0.0,0.0,0.0
进去,28.0,0.0,0.0,0.0,0.0
逛到,2.0,0.0,0.0,0.0,0.0
准备,24.0,0.0,0.0,0.0,0.0
关不了,1.0,0.0,0.0,0.0,0.0
没法,4.0,0.0,0.0,0.0,0.0
停车,4.0,0.0,0.0,0.0,0.0
不行,5.0,0.0,0.0,0.0,0.0
超过,7.0,0.0,0.0,0.0,0.0
预期,1.0,0.0,0.0,0.0,0.0
喝喝,1.0,0.0,0.0,0.0,0.0
旅行,72.0,0.0,0.0,0.0,0.0
生活,110.0,0.0,0.0,0.0,0.0
期待,20.0,0.0,0.0,0.0,0.0
大哭,1.0,0.0,0.0,0.0,0.0
分为,18.0,0.0,0.0,0.0,0.0
看过,14.0,0.0,0.0,0.0,0.0
外加,1.0,0.0,0.0,0.0,0.0
去过,20.0,0.0,0.0,0.0,0.0
看起来,4.0,0.0,0.0,0.0,0.0
结合,8.0,0.0,0.0,0.0,0.0
起来,44.0,0.0,0.0,0.0,0.0
生动,15.0,0.0,0.0,0.0,0.0
回应,4.0,0.0,0.0,0.0,0.0
讽刺,4.0,0.0,0.0,0.0,0.0
批判,8.0,0.0,0.0,0.0,0.0
提到,1.0,0.0,0.0,0.0,0.0
注释,2.0,0.0,0.0,0.0,0.0
离去,1.0,0.0,0.0,0.0,0.0
斗争,2.0,0.0,0.0,0.0,0.0
牺牲,2.0,0.0,0.0,0.0,0.0
希望,30.0,0.0,0.0,0.0,0.0
品尝,8.0,0.0,0.0,0.0,0.0
不会,20.0,0.0,0.0,0.0,0.0
挤死,1.0,0.0,0.0,0.0,0.0
刷到,4.0,0.0,0.0,0.0,0.0
工作,60.0,0.0,0.0,0.0,0.0
觉得,58.0,0.0,0.0,0.0,0.0
走近,17.0,0.0,0.0,0.0,0.0
走到,20.0,0.0,0.0,0.0,0.0
要去,1.0,0.0,0.0,0.0,0.0
买完,2.0,0.0,0.0,0.0,0.0
吵架,2.0,0.0,0.0,0.0,0.0
选择,22.0,0.0,0.0,0.0,0.0
居住,18.0,0.0,0.0,0.0,0.0
发生,11.0,0.0,0.0,0.0,0.0
承办,2.0,0.0,0.0,0.0,0.0
开讲,2.0,0.0,0.0,0.0,0.0
放下,3.0,0.0,0.0,0.0,0.0
不知,14.0,0.0,0.0,0.0,0.0
打卡,107.0,0.0,0.0,0.0,0.0
料想,1.0,0.0,0.0,0.0,0.0
实在,17.0,0.0,0.0,0.0,0.0
敢于,3.0,0.0,0.0,0.0,0.0
直灭,1.0,0.0,0.0,0.0,0.0
正视,2.0,0.0,0.0,0.0,0.0
淋漓,2.0,0.0,0.0,0.0,0.0
不成,1.0,0.0,0.0,0.0,0.0
不能,27.0,0.0,0.0,0.0,0.0
得意,1.0,0.0,0.0,0.0,0.0
散尽,2.0,0.0,0.0,0.0,0.0
复来,1.0,0.0,0.0,0.0,0.0
还有,105.0,0.0,0.0,0.0,0.0
消逝,2.0,0.0,0.0,0.0,0.0
向来,7.0,0.0,0.0,0.0,0.0
颇为,2.0,0.0,0.0,0.0,0.0
位于,29.0,0.0,0.0,0.0,0.0
