,动词,名词,形容词,成语,四字词语
带头,1.0,0.0,0.0,0.0,0.0
追寻,34.0,0.0,0.0,0.0,0.0
传播,6.0,0.0,0.0,0.0,0.0
行动,8.0,0.0,0.0,0.0,0.0
集结,5.0,0.0,0.0,0.0,0.0
发光,3.0,0.0,0.0,0.0,0.0
庆祝,16.0,0.0,0.0,0.0,0.0
成立,27.0,0.0,0.0,0.0,0.0
接力,2.0,0.0,0.0,0.0,0.0
直播,49.0,0.0,0.0,0.0,0.0
走进,93.0,0.0,0.0,0.0,0.0
深入,38.0,0.0,0.0,0.0,0.0
探访,20.0,0.0,0.0,0.0,0.0
建设,85.0,0.0,0.0,0.0,0.0
革命,454.0,0.0,0.0,0.0,0.0
教育,181.0,0.0,0.0,0.0,0.0
感受,59.0,0.0,0.0,0.0,0.0
奋斗,41.0,0.0,0.0,0.0,0.0
摇篮,6.0,0.0,0.0,0.0,0.0
探寻,12.0,0.0,0.0,0.0,0.0
出发,23.0,0.0,0.0,0.0,0.0
丰收,1.0,0.0,0.0,0.0,0.0
讲述,29.0,0.0,0.0,0.0,0.0
振兴,28.0,0.0,0.0,0.0,0.0
发展,75.0,0.0,0.0,0.0,0.0
镌刻,1.0,0.0,0.0,0.0,0.0
运动,83.0,0.0,0.0,0.0,0.0
储建,1.0,0.0,0.0,0.0,0.0
实践,67.0,0.0,0.0,0.0,0.0
开展,108.0,0.0,0.0,0.0,0.0
活动,158.0,0.0,0.0,0.0,0.0
访问,1.0,0.0,0.0,0.0,0.0
了解,58.0,0.0,0.0,0.0,0.0
斗争,17.0,0.0,0.0,0.0,0.0
加深,2.0,0.0,0.0,0.0,0.0
认识,7.0,0.0,0.0,0.0,0.0
激励,5.0,0.0,0.0,0.0,0.0
传承,94.0,0.0,0.0,0.0,0.0
融入,4.0,0.0,0.0,0.0,0.0
位于,70.0,0.0,0.0,0.0,0.0
始建,5.0,0.0,0.0,0.0,0.0
相映,2.0,0.0,0.0,0.0,0.0
视察,8.0,0.0,0.0,0.0,0.0
下榻,3.0,0.0,0.0,0.0,0.0
特取,1.0,0.0,0.0,0.0,0.0
开放,37.0,0.0,0.0,0.0,0.0
设立,6.0,0.0,0.0,0.0,0.0
前进,4.0,0.0,0.0,0.0,0.0
展览,16.0,0.0,0.0,0.0,0.0
继续,13.0,0.0,0.0,0.0,0.0
使命,36.0,0.0,0.0,0.0,0.0
排演,1.0,0.0,0.0,0.0,0.0
沉浸,6.0,0.0,0.0,0.0,0.0
绽放,1.0,0.0,0.0,0.0,0.0
接待,5.0,0.0,0.0,0.0,0.0
预约,21.0,0.0,0.0,0.0,0.0
后续,1.0,0.0,0.0,0.0,0.0
探索,16.0,0.0,0.0,0.0,0.0
管理,24.0,0.0,0.0,0.0,0.0
踏上,3.0,0.0,0.0,0.0,0.0
走入,1.0,0.0,0.0,0.0,0.0
瞻仰,80.0,0.0,0.0,0.0,0.0
进入,6.0,0.0,0.0,0.0,0.0
寻找,2.0,0.0,0.0,0.0,0.0
走近,1.0,0.0,0.0,0.0,0.0
踏入,1.0,0.0,0.0,0.0,0.0
汲取,11.0,0.0,0.0,0.0,0.0
奋进,13.0,0.0,0.0,0.0,0.0
回望,9.0,0.0,0.0,0.0,0.0
登上,4.0,0.0,0.0,0.0,0.0
坚信,1.0,0.0,0.0,0.0,0.0
学好,3.0,0.0,0.0,0.0,0.0
影响,2.0,0.0,0.0,0.0,0.0
结合,11.0,0.0,0.0,0.0,0.0
守护,5.0,0.0,0.0,0.0,0.0
感悟,16.0,0.0,0.0,0.0,0.0
凝聚,2.0,0.0,0.0,0.0,0.0
立起,1.0,0.0,0.0,0.0,0.0
发挥,7.0,0.0,0.0,0.0,0.0
建新,1.0,0.0,0.0,0.0,0.0
组织,54.0,0.0,0.0,0.0,0.0
进行,60.0,0.0,0.0,0.0,0.0
拓展,8.0,0.0,0.0,0.0,0.0
学习,146.0,0.0,0.0,0.0,0.0
引导,5.0,0.0,0.0,0.0,0.0
激发,9.0,0.0,0.0,0.0,0.0
起来,10.0,0.0,0.0,0.0,0.0
跟着,9.0,0.0,0.0,0.0,0.0
寻访,21.0,0.0,0.0,0.0,0.0
作为,28.0,0.0,0.0,0.0,0.0
拥有,4.0,0.0,0.0,0.0,0.0
测绘,2.0,0.0,0.0,0.0,0.0
推出,9.0,0.0,0.0,0.0,0.0
参加,22.0,0.0,0.0,0.0,0.0
驻足,3.0,0.0,0.0,0.0,0.0
陷入,2.0,0.0,0.0,0.0,0.0
护航,4.0,0.0,0.0,0.0,0.0
上演,1.0,0.0,0.0,0.0,0.0
包括,13.0,0.0,0.0,0.0,0.0
淬火,1.0,0.0,0.0,0.0,0.0
融合,15.0,0.0,0.0,0.0,0.0
朗诵,1.0,0.0,0.0,0.0,0.0
表演,1.0,0.0,0.0,0.0,0.0
自制,2.0,0.0,0.0,0.0,0.0
知名,5.0,0.0,0.0,0.0,0.0
向警予,1.0,0.0,0.0,0.0,0.0
休息,1.0,0.0,0.0,0.0,0.0
琢磨,1.0,0.0,0.0,0.0,0.0
查阅,1.0,0.0,0.0,0.0,0.0
走访,10.0,0.0,0.0,0.0,0.0
修改,1.0,0.0,0.0,0.0,0.0
排版,1.0,0.0,0.0,0.0,0.0
争当,1.0,0.0,0.0,0.0,0.0
值得,1.0,0.0,0.0,0.0,0.0
广播,3.0,0.0,0.0,0.0,0.0
推动,15.0,0.0,0.0,0.0,0.0
扩大,11.0,0.0,0.0,0.0,0.0
举行,20.0,0.0,0.0,0.0,0.0
考察,8.0,0.0,0.0,0.0,0.0
推进,28.0,0.0,0.0,0.0,0.0
留下,14.0,0.0,0.0,0.0,0.0
触摸,1.0,0.0,0.0,0.0,0.0
感动,22.0,0.0,0.0,0.0,0.0
不屈,1.0,0.0,0.0,0.0,0.0
跟随,6.0,0.0,0.0,0.0,0.0
回忆,4.0,0.0,0.0,0.0,0.0
召开,21.0,0.0,0.0,0.0,0.0
摇动,1.0,0.0,0.0,0.0,0.0
旅游,105.0,0.0,0.0,0.0,0.0
没有,8.0,0.0,0.0,0.0,0.0
关注,32.0,0.0,0.0,0.0,0.0
工作,85.0,0.0,0.0,0.0,0.0
生活,41.0,0.0,0.0,0.0,0.0
居住,39.0,0.0,0.0,0.0,0.0
便是,3.0,0.0,0.0,0.0,0.0
挖掘,24.0,0.0,0.0,0.0,0.0
擦亮,1.0,0.0,0.0,0.0,0.0
动办,2.0,0.0,0.0,0.0,0.0
带领,62.0,0.0,0.0,0.0,0.0
加强,22.0,0.0,0.0,0.0,0.0
砥砺,5.0,0.0,0.0,0.0,0.0
修养,1.0,0.0,0.0,0.0,0.0
坚持,21.0,0.0,0.0,0.0,0.0
强化,7.0,0.0,0.0,0.0,0.0
担当,10.0,0.0,0.0,0.0,0.0
作出,7.0,0.0,0.0,0.0,0.0
相邻,5.0,0.0,0.0,0.0,0.0
相近,1.0,0.0,0.0,0.0,0.0
相似,1.0,0.0,0.0,0.0,0.0
相通,1.0,0.0,0.0,0.0,0.0
联营,1.0,0.0,0.0,0.0,0.0
联动,3.0,0.0,0.0,0.0,0.0
联建,2.0,0.0,0.0,0.0,0.0
注入,1.0,0.0,0.0,0.0,0.0
依托,7.0,0.0,0.0,0.0,0.0
打造,34.0,0.0,0.0,0.0,0.0
写生,2.0,0.0,0.0,0.0,0.0
采风,5.0,0.0,0.0,0.0,0.0
累计,2.0,0.0,0.0,0.0,0.0
承接,1.0,0.0,0.0,0.0,0.0
培训,5.0,0.0,0.0,0.0,0.0
提供,13.0,0.0,0.0,0.0,0.0
就业,5.0,0.0,0.0,0.0,0.0
确定,7.0,0.0,0.0,0.0,0.0
服务,36.0,0.0,0.0,0.0,0.0
带动,12.0,0.0,0.0,0.0,0.0
创作,8.0,0.0,0.0,0.0,0.0
宣传,39.0,0.0,0.0,0.0,0.0
展示,31.0,0.0,0.0,0.0,0.0
种植,15.0,0.0,0.0,0.0,0.0
休闲,7.0,0.0,0.0,0.0,0.0
娱乐,3.0,0.0,0.0,0.0,0.0
吸引,7.0,0.0,0.0,0.0,0.0
实现,11.0,0.0,0.0,0.0,0.0
综合,8.0,0.0,0.0,0.0,0.0
