红色景点名称,评论数量
《义勇军进行曲》纪念地,8
《新少年报》社旧址,1
一大 宿舍旧址,8
七号桥碉堡,51
三林烈士陵园,17
上海 初心之地,98
上海 红色寻访,247
上海 红途,57
上海中山故居,186
上海书店遗址,5
上海交通大学早期建筑,20
上海交通大学校史博物馆,17
上海人民保安队总指挥部旧址,4
上海北火车站遗址,6
上海医院旧址,84
上海大学遗址,38
上海工人第三次武装起义,12
上海市委秘密机关旧址,1
上海建党百年,190
上海总工会遗址,19
上海特别市临时市政府旧址,2
上海监狱陈列馆,18
上海第三次工人武装起义,12
上海红色旅游,364
上海红色资源,421
上海解放纪念馆,69
上海邮政总局,227
上海鲁迅纪念馆,570
中共一大,61
中共一大会址,237
中共一大会址,105
中共上海区委党校旧址,1
中共上海区委党校旧址,1
中共中央宣传部遗址,4
中共中央政治局机关旧址,2
中共中央秘密印刷厂,2
中共二大会址,66
中共四大纪念馆,67
中共江苏省委机关,27
中共秘密联络点旧址,2
中国共产党代表团驻沪办事处,3
中国共产党代表团驻沪办事处,3
中国共产党第二次全国代表大会会址,21
中央军委联络点,3
中央政治局机关,87
临青学校,17
义勇军进行曲纪念地,8
会文堂印书局,4
储能中学,216
先施公司,282
光华大学遗址,6
光明中学旧址,4
公共租界工部局,179
刘少奇旧居,14
初心馆,88
南市公共体育场,9
南汇烈士陵园,33
又新印刷所旧址,21
同济大学校史馆,40
吴克坚旧居,1
商务印书馆发行所旧址,1
嘉定区革命烈士陵园,51
四行仓库,863
圣约翰大学 建筑,231
圣约翰大学近代建筑,14
培明女中,9
复旦大学校史馆,89
多伦路郭沫若旧居,9
大同幼稚园旧址,3
孙中山故居,61
宋庆龄故居,33
宋庆龄故居,62
宋氏老宅,72
宝山烈士陵园,73
山海工学团遗址,5
崇明区烈士馆,8
川沙烈士陵园,71
巴金旧居,185
张闻天 陈列馆,7
张闻天故居,9
张闻天故居,9
新四军吴淞情报组,4
新新公司,298
新青年 编辑部,349
无名烈士墓,100
日商东华纱厂,8
晓钟剧团,11
月浦攻坚战,22
李一谔烈士陵园,15
李白烈士,418
李白等十二烈士就义,6
杨度旧居,9
松江烈士陵园,79
格致中学旧址,2
毛泽东 寓所,7
毛泽东 旧居,28
民立中学旧址,5
江南制造总局旧址,18
汪寿华旧居,2
海关大楼,332
溯园,101
王孝和烈士,52
王根英烈士,18
田汉旧居,17
留法勤工俭学,91
瞿秋白旧居,1
瞿秋白旧居,1
矛盾旧居,46
社会主义青年团中央机关,11
红色泥城主题馆,41
老永安公司,2
老闸捕房旧址,9
聂耳旧居,12
艾青旧居,8
茅盾旧居,48
袁世钊故居,4
贺绿汀旧居,28
赵世炎,76
赵世炎旧居,3
郭沫若旧居,202
都城饭店旧址,3
金山区烈士陵园,39
闵行区烈士陵园,88
陆龙飞烈士墓,3
陈云故居,8
陈云旧居,2
陈云纪念馆,35
震旦学院旧址,4
韬奋故居,29
韬奋纪念馆,227
高桥烈士陵园,75
鲁迅墓,281
鲁迅墓,402
鲁迅小道,303
鲁迅故居,582
鲁迅故居,590
龙华二十四烈士,114
龙华革命烈士,380
龙华革命烈士纪念地,66
