Source,Target,Weight
劳动,妇女,6.643856
长征,文化公园,6.058894
妇女,交通,5.321928
便民,助推,5.321928
便民,跨界,5.321928
便民,出圈,5.321928
助推,跨界,5.321928
助推,出圈,5.321928
跨界,出圈,5.321928
项目,文化公园,4.836501
大思,政课,4.836501
有限公司,文化公园,4.836501
文化公园,标志,4.836501
国资,印迹,4.736966
乡村,妇女,4.643856
饭店,时期,4.643856
人物,创作,4.643856
风景,旅行社,4.643856
妇女,资源优势,4.643856
妇女,时期,4.643856
成员,便民,4.584962
成员,助推,4.584962
成员,跨界,4.584962
成员,出圈,4.584962
意义,印迹,4.514573
程序,便民,4.473931
程序,助推,4.473931
程序,跨界,4.473931
程序,出圈,4.473931
景区,职工,4.473931
景区,高铁,4.473931
朋友,高铁,4.473931
区域,地铁,4.473931
高铁,旅行社,4.473931
设计,文化公园,4.321928
全国,妇女,4.321928
博物馆,饭店,4.321928
博物馆,影像,4.321928
影像,总书记,4.321928
展厅,文化公园,4.321928
劳动,交通,4.321928
价值,印迹,4.321928
项目,长征,4.251539
长征,有限公司,4.251539
长征,标志,4.251539
景区,对口,4.251539
国资,意义,4.251539
大思,思政,4.251539
对口,职工,4.251539
对口,高铁,4.251539
启动,仪式,4.251539
国家,文化公园,4.184424
群众,妇女,4.184424
系统,国资,4.184424
意义,价值,4.158429
微信,公众,4.111361
对口,三明,4.099535
总书记,史料,4.099535
上线,便民,4.058894
上线,助推,4.058894
上线,跨界,4.058894
上线,出圈,4.058894
长征,重点,4.058894
服务,文化公园,4.058894
景区,文化公园,4.058894
国资,价值,4.058894
乡村,高铁,4.058894
海派,影像,4.058894
企业,高铁,4.058894
政课,思政,4.058894
居民,高铁,4.058894
研学,仪式,4.058894
音乐,专业,4.058894
产品,高铁,4.058894
国际,高铁,4.058894
风景,高铁,4.058894
文化公园,区域,4.058894
文化公园,文物保护,4.058894
矩阵,标志,4.029146
直播,阵地,4
红途,便民,3.943416
红途,助推,3.943416
红途,跨界,3.943416
红途,出圈,3.943416
文旅,高铁,3.943416
功能,饭店,3.943416
功能,便民,3.943416
功能,助推,3.943416
功能,跨界,3.943416
功能,出圈,3.943416
社会,影像,3.943416
参观,饭店,3.943416
程序,上线,3.888969
系统,印迹,3.862496
建筑,饭店,3.836501
建筑,文化公园,3.836501
会址,中共二大,3.836501
景区,有限公司,3.836501
社区,居民,3.836501
社区,街道,3.836501
社区,风景,3.836501
乡村,对口,3.836501
传播,影像,3.836501
对口,产品,3.836501
影像,意义,3.836501
影像,来源,3.836501
方面,文艺,3.836501
红途,程序,3.773491
程序,成员,3.736966
设计,长征,3.736966
遗址,文化公园,3.736966
上线,成员,3.736966
体验,妇女,3.736966
长征,三明,3.736966
长征,展厅,3.736966
单位,职工,3.736966
单位,妇女,3.736966
单位,文化公园,3.736966
公交,交通,3.736966
公交,阵地,3.736966
职工,三明,3.736966
职工,机关,3.736966
历程,印迹,3.736966
历史博物馆,地铁,3.736966
历史博物馆,专业,3.736966
基层,专业,3.736966
展厅,创作,3.736966
成员,专业,3.736966
印记,印迹,3.736966
高铁,交通,3.736966
交通,专业,3.736966
产业,三明,3.736966
程序,矩阵,3.666576
程序,标志,3.666576
微信,矩阵,3.666576
微信,标志,3.666576
对口,两地,3.666576
公众,矩阵,3.666576
公众,标志,3.666576
红途,平台,3.643856
公园,居民,3.643856
公园,音乐,3.643856
品牌,影像,3.643856
品牌,打响,3.643856
平台,便民,3.643856
